,type,reference,price,neighbourhood,area,rooms,plant,lift,parking,district
711,House,/en/inmueble/101588155/,2100000,Sarrià,486,4,,no lift,no,Sarrià-Sant Gervasi
712,Flat,/en/inmueble/101609234/,750000,la Vila Olímpica del Poblenou,165,4,2.0,lift,yes,Sant Martí
713,Penthouse,/en/inmueble/101588175/,1825000,Pedralbes,218,4,2.0,lift,yes,Les Corts
714,Flat,/en/inmueble/100754536/,749000,el Barri Gòtic,120,3,1.0,lift,no,Ciutat Vella
715,Flat,/en/inmueble/99577836/,529000,Sant Gervasi - Galvany,97,3,2.0,lift,yes,Sarrià-Sant Gervasi
716,Penthouse,/en/inmueble/101263848/,1150000,el Fort Pienc,171,4,10.0,lift,no,Eixample
717,Flat,/en/inmueble/101607985/,870000,el Barri Gòtic,262,7,4.0,lift,no,Ciutat Vella
718,Flat,/en/inmueble/98956576/,1300000,la Vila de Gràcia,200,5,4.0,lift,no,Gràcia
719,Flat,/en/inmueble/97005119/,1550000,la Dreta de l'Eixample,210,4,3.0,lift,no,Eixample
720,Flat,/en/inmueble/96200048/,655000,l'Antiga Esquerra de l'Eixample,158,4,6.0,lift,no,Eixample
722,Flat,/en/inmueble/101551113/,1330000,Sarrià,234,5,3.0,lift,yes,Sarrià-Sant Gervasi
723,Flat,/en/inmueble/100070950/,324000,la Nova Esquerra de l'Eixample,92,3,1.0,lift,no,Eixample
724,Flat,/en/inmueble/100766971/,890000,la Dreta de l'Eixample,172,3,1.0,lift,no,Eixample
725,Flat,/en/inmueble/101563823/,780000,la Dreta de l'Eixample,143,4,1.0,lift,no,Eixample
726,Flat,/en/inmueble/101598762/,425000,la Sagrada Família,91,3,5.0,lift,no,Eixample
727,Duplex,/en/inmueble/101607066/,448000,Vilapicina i la Torre Llobeta,126,2,0.0,lift,no,Nou Barris
728,Flat,/en/inmueble/101607423/,990000,Sant Gervasi - la Bonanova,150,3,2.0,lift,yes,Sarrià-Sant Gervasi
729,Flat,/en/inmueble/101336639/,388000,el Poble-sec,98,4,7.0,lift,no,Sants-Montjuïc
730,Flat,/en/inmueble/101607406/,362000,Vilapicina i la Torre Llobeta,54,2,1.0,lift,no,Nou Barris
731,Flat,/en/inmueble/101594893/,235000,el Bon Pastor,110,4,5.0,no lift,no,Sant Andreu
732,Flat,/en/inmueble/101598255/,625000,el Fort Pienc,131,3,2.0,lift,no,Eixample
733,Flat,/en/inmueble/101607374/,258000,Vilapicina i la Torre Llobeta,46,1,1.0,lift,no,Nou Barris
734,Flat,/en/inmueble/101613205/,390000,la Nova Esquerra de l'Eixample,95,4,3.0,lift,no,Eixample
735,Duplex,/en/inmueble/101607419/,524000,Vilapicina i la Torre Llobeta,79,3,2.0,lift,no,Nou Barris
736,Flat,/en/inmueble/101625751/,155000,la Trinitat Nova,65,3,3.0,lift,no,Nou Barris
737,Flat,/en/inmueble/101607417/,338000,Vilapicina i la Torre Llobeta,59,2,1.0,lift,no,Nou Barris
738,Duplex,/en/inmueble/101607082/,356000,Vilapicina i la Torre Llobeta,107,1,0.0,lift,no,Nou Barris
739,Duplex,/en/inmueble/101607418/,556000,Vilapicina i la Torre Llobeta,80,3,2.0,lift,no,Nou Barris
740,Duplex,/en/inmueble/101606421/,3100000,Sant Gervasi - Galvany,524,5,0.0,lift,yes,Sarrià-Sant Gervasi
741,Flat,/en/inmueble/100977046/,690000,la Dreta de l'Eixample,164,4,2.0,lift,no,Eixample
743,Flat,/en/inmueble/99811467/,600000,la Dreta de l'Eixample,112,4,5.0,lift,no,Eixample
744,Flat,/en/inmueble/100918052/,530000,el Guinardó,100,4,2.0,lift,yes,Horta-Guinardó
746,Flat,/en/inmueble/101255396/,445000,Vallcarca i els Penitents,96,3,2.0,lift,yes,Gràcia
747,Flat,/en/inmueble/99290548/,590000,la Nova Esquerra de l'Eixample,139,4,6.0,lift,yes,Eixample
748,Flat,/en/inmueble/101404892/,372000,Sant Antoni,97,4,1.0,no lift,no,Eixample
749,Flat,/en/inmueble/101603021/,220000,el Raval,81,3,1.0,lift,no,Ciutat Vella
751,Flat,/en/inmueble/37501709/,845000,l'Antiga Esquerra de l'Eixample,105,3,4.0,lift,no,Eixample
752,Flat,/en/inmueble/101615222/,210000,la Sagrada Família,54,1,7.0,lift,no,Eixample
753,Flat,/en/inmueble/101539458/,164500,el Raval,47,2,1.0,lift,no,Ciutat Vella
754,Flat,/en/inmueble/98522072/,355000,el Raval,98,3,2.0,lift,no,Ciutat Vella
755,Flat,/en/inmueble/101607611/,125000,la Trinitat Vella,65,2,1.0,no lift,no,Sant Andreu
756,Flat,/en/inmueble/101441886/,473000,la Nova Esquerra de l'Eixample,122,5,2.0,no lift,no,Eixample
758,Flat,/en/inmueble/101608711/,1090000,Sant Gervasi - Galvany,149,3,,no lift,no,Sarrià-Sant Gervasi
759,Flat,/en/inmueble/101615266/,210000,el Camp d'en Grassot i Gràcia Nova,54,1,7.0,lift,no,Gràcia
760,Flat,/en/inmueble/100041729/,329000,Sant Antoni,70,2,0.0,lift,no,Eixample
761,Flat,/en/inmueble/101600301/,149000,el Carmel,59,3,2.0,no lift,no,Horta-Guinardó
762,Flat,/en/inmueble/101613787/,345000,Sants,93,4,4.0,lift,no,Sants-Montjuïc
763,Flat,/en/inmueble/101608169/,149700,el Congrés i els Indians,56,2,1.0,lift,no,Sant Andreu
764,Flat,/en/inmueble/101243109/,400000,l'Antiga Esquerra de l'Eixample,103,3,1.0,lift,no,Eixample
765,Flat,/en/inmueble/99812809/,780000,la Dreta de l'Eixample,182,4,2.0,lift,yes,Eixample
767,Flat,/en/inmueble/101384777/,1500000,Sant Gervasi - la Bonanova,196,3,4.0,lift,yes,Sarrià-Sant Gervasi
768,Flat,/en/inmueble/101544369/,795000,el Poblenou,131,2,2.0,lift,yes,Sant Martí
769,Flat,/en/inmueble/100321834/,265000,Vilapicina i la Torre Llobeta,90,4,4.0,lift,no,Nou Barris
770,Flat,/en/inmueble/101617831/,680000,l'Antiga Esquerra de l'Eixample,91,2,4.0,lift,no,Eixample
773,Penthouse,/en/inmueble/101445344/,1090000,Sant Gervasi - Galvany,136,3,8.0,lift,no,Sarrià-Sant Gervasi
774,Flat,/en/inmueble/101619910/,650000,la Nova Esquerra de l'Eixample,104,3,3.0,lift,no,Eixample
775,Flat,/en/inmueble/101617806/,630000,l'Antiga Esquerra de l'Eixample,92,3,2.0,lift,no,Eixample
776,Flat,/en/inmueble/101621917/,420000,la Sagrada Família,110,3,2.0,lift,no,Eixample
777,Terraced,/en/inmueble/99155482/,1900000,Sarrià,419,5,,no lift,yes,Sarrià-Sant Gervasi
778,Flat,/en/inmueble/101606087/,220000,la Bordeta,68,2,1.0,lift,no,Sants-Montjuïc
779,Flat,/en/inmueble/101617655/,655000,l'Antiga Esquerra de l'Eixample,93,2,3.0,lift,no,Eixample
781,Flat,/en/inmueble/101277853/,195000,la Sagrera,57,2,4.0,lift,no,Sant Andreu
782,Flat,/en/inmueble/100314456/,1495000,Sant Gervasi - Galvany,233,6,2.0,lift,yes,Sarrià-Sant Gervasi
783,Flat,/en/inmueble/101544371/,750000,Sant Gervasi - Galvany,127,3,1.0,lift,yes,Sarrià-Sant Gervasi
790,Flat,/en/inmueble/101605573/,81000,el Raval,55,2,2.0,no lift,no,Ciutat Vella
792,Flat,/en/inmueble/101288132/,875000,la Dreta de l'Eixample,142,5,1.0,lift,no,Eixample
793,Flat,/en/inmueble/98269826/,2200000,la Dreta de l'Eixample,394,9,3.0,lift,no,Eixample
794,Flat,/en/inmueble/101617074/,630000,l'Antiga Esquerra de l'Eixample,92,3,2.0,lift,no,Eixample
795,Flat,/en/inmueble/100798587/,750000,les Corts,108,3,8.0,lift,no,Les Corts
796,Duplex,/en/inmueble/97251660/,1600000,la Dreta de l'Eixample,200,3,5.0,lift,no,Eixample
798,House,/en/inmueble/100508876/,2395000,Sant Gervasi - la Bonanova,600,6,,no lift,yes,Sarrià-Sant Gervasi
799,Flat,/en/inmueble/98430838/,540000,el Barri Gòtic,65,2,1.0,lift,no,Ciutat Vella
800,Penthouse,/en/inmueble/101606669/,439000,la Maternitat i Sant Ramon,85,3,8.0,lift,no,Les Corts
801,Flat,/en/inmueble/101617247/,675000,l'Antiga Esquerra de l'Eixample,93,2,4.0,lift,no,Eixample
802,Flat,/en/inmueble/101612872/,500000,les Corts,96,4,7.0,lift,no,Les Corts
803,Flat,/en/inmueble/101617144/,655000,l'Antiga Esquerra de l'Eixample,93,2,3.0,lift,no,Eixample
804,Flat,/en/inmueble/98430519/,620000,el Barri Gòtic,91,3,1.0,lift,no,Ciutat Vella
805,Flat,/en/inmueble/101617244/,680000,l'Antiga Esquerra de l'Eixample,91,2,4.0,lift,no,Eixample
806,Flat,/en/inmueble/101617127/,595000,l'Antiga Esquerra de l'Eixample,82,2,2.0,lift,no,Eixample
807,Flat,/en/inmueble/101617163/,720000,l'Antiga Esquerra de l'Eixample,92,3,6.0,lift,no,Eixample
808,Flat,/en/inmueble/101217006/,385000,el Parc i la Llacuna del Poblenou,86,3,2.0,lift,no,Sant Martí
809,Flat,/en/inmueble/101625686/,369000,les Corts,88,3,3.0,lift,no,Les Corts
810,House,/en/inmueble/101612436/,595000,Sarrià,127,3,,no lift,no,Sarrià-Sant Gervasi
813,Flat,/en/inmueble/98448906/,1690000,la Barceloneta,111,3,1.0,no lift,no,Ciutat Vella
814,Flat,/en/inmueble/101159919/,410000,la Sagrada Família,72,1,4.0,no lift,no,Eixample
818,Flat,/en/inmueble/100243075/,835000,Sant Gervasi - Galvany,101,4,4.0,lift,yes,Sarrià-Sant Gervasi
822,Flat,/en/inmueble/96086013/,700000,Sants,350,4,0.0,no lift,no,Sants-Montjuïc
823,Flat,/en/inmueble/100336618/,355000,el Baix Guinardó,100,3,2.0,lift,no,Horta-Guinardó
824,Flat,/en/inmueble/101567918/,695000,Sarrià,110,4,8.0,lift,yes,Sarrià-Sant Gervasi
825,Flat,/en/inmueble/96320466/,310000,Sants,74,2,2.0,no lift,no,Sants-Montjuïc
826,Flat,/en/inmueble/99824900/,780000,la Sagrada Família,121,3,4.0,lift,no,Eixample
827,Flat,/en/inmueble/100336389/,200000,la Marina de Port,86,2,2.0,lift,no,Sants-Montjuïc
828,House,/en/inmueble/87668823/,2650000,"Vallvidrera, el Tibidabo i les Planes",880,6,,no lift,yes,Sarrià-Sant Gervasi
829,Flat,/en/inmueble/96285378/,2300000,Sant Gervasi - Galvany,286,5,3.0,lift,yes,Sarrià-Sant Gervasi
830,Flat,/en/inmueble/101596687/,331000,Sant Antoni,84,4,2.0,no lift,no,Eixample
831,Penthouse,/en/inmueble/98857881/,299000,Navas,66,3,,no lift,no,Sant Andreu
832,Flat,/en/inmueble/98148880/,825000,Sant Antoni,197,6,2.0,lift,no,Eixample
833,Flat,/en/inmueble/98927908/,625000,el Fort Pienc,131,3,3.0,lift,no,Eixample
835,Flat,/en/inmueble/100751724/,798000,la Sagrada Família,120,4,2.0,lift,no,Eixample
836,Flat,/en/inmueble/101032087/,690000,la Dreta de l'Eixample,156,4,2.0,lift,no,Eixample
837,Flat,/en/inmueble/100335886/,425000,el Fort Pienc,90,4,7.0,lift,no,Eixample
838,Flat,/en/inmueble/101618069/,385000,la Dreta de l'Eixample,71,2,0.0,lift,yes,Eixample
839,Flat,/en/inmueble/93179068/,385000,el Poble-sec,62,1,,no lift,no,Sants-Montjuïc
841,Flat,/en/inmueble/100178334/,419000,la Sagrada Família,118,4,1.0,lift,no,Eixample
846,Flat,/en/inmueble/101477449/,760000,Sant Gervasi - la Bonanova,81,3,6.0,lift,no,Sarrià-Sant Gervasi
847,House,/en/inmueble/101538807/,2050000,Sarrià,204,6,,no lift,yes,Sarrià-Sant Gervasi
848,Flat,/en/inmueble/101036417/,560205,el Poblenou,64,2,1.0,lift,yes,Sant Martí
849,Flat,/en/inmueble/101400103/,825000,el Camp d'en Grassot i Gràcia Nova,152,3,0.0,lift,no,Gràcia
850,Flat,/en/inmueble/100631946/,1175000,Pedralbes,130,2,2.0,lift,yes,Les Corts
851,Flat,/en/inmueble/101615256/,299000,Can Baró,106,4,3.0,lift,yes,Horta-Guinardó
852,Flat,/en/inmueble/101424486/,280000,el Raval,100,3,1.0,no lift,no,Ciutat Vella
853,Flat,/en/inmueble/101623529/,259000,el Baix Guinardó,76,2,,no lift,no,Horta-Guinardó
855,Flat,/en/inmueble/101399889/,415000,el Camp d'en Grassot i Gràcia Nova,68,1,1.0,lift,no,Gràcia
856,Flat,/en/inmueble/101474907/,1600000,Sant Gervasi - Galvany,177,2,5.0,lift,no,Sarrià-Sant Gervasi
857,Flat,/en/inmueble/101337290/,380000,la Barceloneta,137,2,0.0,no lift,no,Ciutat Vella
858,Flat,/en/inmueble/101622952/,680000,Sant Antoni,117,4,3.0,lift,no,Eixample
859,Flat,/en/inmueble/98839385/,155000,la Prosperitat,71,3,1.0,lift,no,Nou Barris
860,Flat,/en/inmueble/101400026/,420000,el Camp d'en Grassot i Gràcia Nova,68,1,1.0,lift,no,Gràcia
861,Flat,/en/inmueble/101597266/,795000,"Sant Pere, Santa Caterina i la Ribera",88,2,1.0,lift,no,Ciutat Vella
862,Flat,/en/inmueble/100743646/,399000,"Sant Pere, Santa Caterina i la Ribera",82,2,2.0,lift,no,Ciutat Vella
863,Flat,/en/inmueble/100827825/,360000,la Sagrada Família,75,2,5.0,lift,no,Eixample
864,Flat,/en/inmueble/101530804/,196000,la Teixonera,75,2,1.0,no lift,no,Horta-Guinardó
865,Flat,/en/inmueble/101301310/,1295000,la Dreta de l'Eixample,126,2,6.0,lift,yes,Eixample
866,Flat,/en/inmueble/101421006/,1700000,Pedralbes,285,6,3.0,lift,no,Les Corts
867,Flat,/en/inmueble/101525290/,285000,el Raval,59,1,4.0,no lift,no,Ciutat Vella
868,Duplex,/en/inmueble/101616899/,2200000,Sant Gervasi - Galvany,280,6,0.0,lift,yes,Sarrià-Sant Gervasi
869,Flat,/en/inmueble/100336538/,320000,la Nova Esquerra de l'Eixample,90,3,1.0,lift,no,Eixample
873,Flat,/en/inmueble/101616288/,340000,la Sagrada Família,86,3,1.0,lift,no,Eixample
878,Terraced,/en/inmueble/101446883/,380000,el Carmel,160,5,,no lift,no,Horta-Guinardó
879,Flat,/en/inmueble/98275451/,537500,la Vila Olímpica del Poblenou,118,4,6.0,lift,no,Sant Martí
880,Flat,/en/inmueble/101546661/,850000,les Corts,207,5,7.0,lift,no,Les Corts
881,Penthouse,/en/inmueble/101327540/,675000,"Sant Pere, Santa Caterina i la Ribera",101,2,,no lift,no,Ciutat Vella
882,Flat,/en/inmueble/101321487/,286000,la Maternitat i Sant Ramon,54,2,1.0,no lift,no,Les Corts
883,Flat,/en/inmueble/101539002/,530000,les Corts,224,5,,no lift,no,Les Corts
884,Flat,/en/inmueble/101617473/,59900,Ciutat Meridiana,59,1,0.0,no lift,no,Nou Barris
885,Flat,/en/inmueble/101357910/,570000,Sarrià,70,2,1.0,lift,no,Sarrià-Sant Gervasi
886,Flat,/en/inmueble/101526946/,1445000,les Tres Torres,223,6,1.0,lift,yes,Sarrià-Sant Gervasi
887,Flat,/en/inmueble/101298702/,390000,"Sant Pere, Santa Caterina i la Ribera",82,2,,no lift,no,Ciutat Vella
888,Flat,/en/inmueble/95342894/,132000,el Raval,65,3,0.0,no lift,no,Ciutat Vella
889,Flat,/en/inmueble/101323426/,631730,el Camp de l'Arpa del Clot,145,2,2.0,lift,no,Sant Martí
890,Flat,/en/inmueble/101612775/,259000,el Poble-sec,57,2,1.0,lift,no,Sants-Montjuïc
891,Flat,/en/inmueble/101348468/,1200000,la Dreta de l'Eixample,229,6,2.0,lift,no,Eixample
892,Flat,/en/inmueble/87303192/,400000,l'Antiga Esquerra de l'Eixample,72,3,5.0,lift,no,Eixample
893,Penthouse,/en/inmueble/101607973/,339000,la Nova Esquerra de l'Eixample,68,2,6.0,lift,no,Eixample
894,Penthouse,/en/inmueble/101342823/,429000,Hostafrancs,85,2,4.0,lift,no,Sants-Montjuïc
895,Flat,/en/inmueble/98815888/,173500,el Raval,71,3,1.0,no lift,no,Ciutat Vella
897,Flat,/en/inmueble/101524954/,1300000,Sant Gervasi - la Bonanova,240,5,3.0,lift,yes,Sarrià-Sant Gervasi
898,Duplex,/en/inmueble/101497098/,2480000,Pedralbes,330,4,1.0,lift,yes,Les Corts
0,Semi-detached,/en/inmueble/101611957/,560000,el Camp de l'Arpa del Clot,208,4,,no lift,no,Sant Martí
1,Flat,/en/inmueble/101357951/,540000,Sarrià,65,1,3.0,lift,no,Sarrià-Sant Gervasi
4,Flat,/en/inmueble/100663683/,795000,el Barri Gòtic,109,2,3.0,lift,no,Ciutat Vella
5,Flat,/en/inmueble/98730212/,1055000,la Dreta de l'Eixample,130,2,2.0,lift,no,Eixample
6,Flat,/en/inmueble/101357923/,540000,Sarrià,65,1,2.0,lift,no,Sarrià-Sant Gervasi
7,Flat,/en/inmueble/89312621/,1699000,les Tres Torres,229,5,5.0,lift,yes,Sarrià-Sant Gervasi
8,Flat,/en/inmueble/100943302/,652500,el Camp d'en Grassot i Gràcia Nova,80,2,1.0,lift,no,Gràcia
9,Flat,/en/inmueble/101304051/,450000,l'Antiga Esquerra de l'Eixample,89,3,5.0,lift,no,Eixample
10,Flat,/en/inmueble/101129215/,135500,la Verneda i la Pau,69,3,4.0,lift,no,Sant Martí
11,Flat,/en/inmueble/101617112/,275000,Sants,80,4,3.0,no lift,no,Sants-Montjuïc
12,Penthouse,/en/inmueble/97591298/,1600000,Sant Gervasi - Galvany,194,4,6.0,lift,yes,Sarrià-Sant Gervasi
13,Flat,/en/inmueble/100754520/,1195000,Sant Gervasi - Galvany,226,5,4.0,lift,no,Sarrià-Sant Gervasi
15,Flat,/en/inmueble/101501195/,330000,la Sagrada Família,59,2,2.0,lift,no,Eixample
16,Penthouse,/en/inmueble/100678816/,3850000,Sant Gervasi - la Bonanova,364,4,3.0,lift,yes,Sarrià-Sant Gervasi
17,Flat,/en/inmueble/100464424/,3500000,la Dreta de l'Eixample,230,4,6.0,lift,no,Eixample
18,Flat,/en/inmueble/100834831/,795000,Sant Gervasi - Galvany,128,3,5.0,lift,yes,Sarrià-Sant Gervasi
19,Penthouse,/en/inmueble/98367697/,3650000,les Corts,458,5,8.0,lift,no,Les Corts
20,Flat,/en/inmueble/101525932/,275000,el Camp de l'Arpa del Clot,59,2,4.0,lift,no,Sant Martí
21,Flat,/en/inmueble/101619369/,299000,Can Baró,106,4,3.0,lift,no,Horta-Guinardó
23,Flat,/en/inmueble/100740666/,690000,la Dreta de l'Eixample,133,5,3.0,lift,no,Eixample
24,Flat,/en/inmueble/101105313/,360000,el Congrés i els Indians,93,3,6.0,lift,no,Sant Andreu
25,Flat,/en/inmueble/101392847/,595000,la Nova Esquerra de l'Eixample,153,7,,no lift,no,Eixample
26,Flat,/en/inmueble/101546754/,795000,"Sant Pere, Santa Caterina i la Ribera",88,2,1.0,lift,no,Ciutat Vella
28,Terraced,/en/inmueble/101614009/,330000,Sant Andreu,103,3,,no lift,no,Sant Andreu
29,Flat,/en/inmueble/101300670/,1650000,la Dreta de l'Eixample,202,3,1.0,no lift,no,Eixample
34,Flat,/en/inmueble/101313495/,399000,la Nova Esquerra de l'Eixample,91,3,1.0,lift,no,Eixample
36,Flat,/en/inmueble/101514831/,580000,Sant Gervasi - Galvany,106,4,1.0,lift,no,Sarrià-Sant Gervasi
37,Flat,/en/inmueble/101104355/,950000,Sant Gervasi - la Bonanova,117,3,1.0,lift,yes,Sarrià-Sant Gervasi
38,Semi-detached,/en/inmueble/100603035/,4950000,Pedralbes,670,5,,no lift,yes,Les Corts
39,Penthouse,/en/inmueble/99381649/,3150000,Pedralbes,396,6,6.0,lift,yes,Les Corts
42,Flat,/en/inmueble/96779380/,1200000,"Sant Pere, Santa Caterina i la Ribera",239,4,1.0,lift,no,Ciutat Vella
44,Flat,/en/inmueble/101313659/,240000,Sants,67,2,3.0,lift,no,Sants-Montjuïc
46,Penthouse,/en/inmueble/101251587/,890000,la Dreta de l'Eixample,89,2,7.0,lift,no,Eixample
47,Flat,/en/inmueble/101615248/,300000,el Congrés i els Indians,90,3,4.0,lift,no,Sant Andreu
48,Penthouse,/en/inmueble/101090719/,1450000,"Sant Pere, Santa Caterina i la Ribera",135,2,4.0,lift,no,Ciutat Vella
54,Flat,/en/inmueble/99124224/,405000,el Guinardó,93,3,2.0,lift,no,Horta-Guinardó
57,Flat,/en/inmueble/101606595/,290000,la Sagrada Família,55,2,1.0,no lift,no,Eixample
59,Flat,/en/inmueble/101041993/,740000,la Dreta de l'Eixample,165,3,2.0,lift,no,Eixample
61,House,/en/inmueble/91467676/,4300000,Pedralbes,686,6,,no lift,yes,Les Corts
62,Flat,/en/inmueble/101005093/,2200000,la Dreta de l'Eixample,357,9,3.0,lift,no,Eixample
63,Flat,/en/inmueble/100990263/,1580000,la Dreta de l'Eixample,200,5,5.0,lift,no,Eixample
64,Flat,/en/inmueble/101254353/,193000,la Marina de Port,78,3,6.0,lift,no,Sants-Montjuïc
66,Penthouse,/en/inmueble/101604832/,395000,Hostafrancs,109,3,6.0,lift,no,Sants-Montjuïc
67,Flat,/en/inmueble/100293412/,550000,l'Antiga Esquerra de l'Eixample,98,4,1.0,lift,no,Eixample
68,Flat,/en/inmueble/101243323/,448250,el Putxet i el Farró,47,1,3.0,lift,no,Sarrià-Sant Gervasi
69,Flat,/en/inmueble/92281196/,1200000,l'Antiga Esquerra de l'Eixample,150,2,1.0,lift,no,Eixample
70,Penthouse,/en/inmueble/96691051/,1090000,Sant Gervasi - Galvany,150,3,8.0,lift,no,Sarrià-Sant Gervasi
72,Duplex,/en/inmueble/101070841/,285000,Sant Martí de Provençals,140,2,0.0,no lift,no,Sant Martí
73,Flat,/en/inmueble/100295719/,149700,el Congrés i els Indians,56,2,0.0,lift,no,Sant Andreu
74,Flat,/en/inmueble/101613942/,345000,Sants,93,4,4.0,lift,no,Sants-Montjuïc
75,Flat,/en/inmueble/101564658/,1090000,Sant Gervasi - Galvany,130,3,0.0,lift,no,Sarrià-Sant Gervasi
77,Flat,/en/inmueble/98429687/,1890000,Diagonal Mar i el Front Marítim del Poblenou,285,5,16.0,lift,yes,Sant Martí
78,Flat,/en/inmueble/101608096/,580000,Sant Gervasi - Galvany,131,4,2.0,lift,no,Sarrià-Sant Gervasi
79,Flat,/en/inmueble/101579256/,185000,Sant Antoni,37,1,2.0,no lift,no,Eixample
80,Flat,/en/inmueble/101602953/,290000,la Sagrada Família,55,2,1.0,no lift,no,Eixample
81,Flat,/en/inmueble/101064998/,690000,el Camp d'en Grassot i Gràcia Nova,145,3,0.0,lift,no,Gràcia
82,Penthouse,/en/inmueble/100997286/,555000,la Nova Esquerra de l'Eixample,85,3,8.0,lift,no,Eixample
84,Flat,/en/inmueble/101610900/,390000,el Raval,97,3,4.0,lift,no,Ciutat Vella
85,Penthouse,/en/inmueble/94457998/,880000,Sant Gervasi - Galvany,116,2,7.0,lift,no,Sarrià-Sant Gervasi
86,Flat,/en/inmueble/101608206/,470000,l'Antiga Esquerra de l'Eixample,97,4,7.0,lift,no,Eixample
89,Flat,/en/inmueble/101459935/,275000,la Salut,70,2,3.0,lift,no,Gràcia
90,Flat,/en/inmueble/98416673/,470000,Sant Gervasi - Galvany,121,4,1.0,lift,no,Sarrià-Sant Gervasi
91,Flat,/en/inmueble/101526554/,350000,la Sagrada Família,73,2,2.0,lift,no,Eixample
94,Duplex,/en/inmueble/101064886/,690000,la Vila de Gràcia,145,3,0.0,lift,no,Gràcia
96,Flat,/en/inmueble/100591170/,465000,el Raval,72,2,1.0,lift,no,Ciutat Vella
100,Flat,/en/inmueble/101604133/,97068,el Bon Pastor,64,3,,no lift,no,Sant Andreu
102,Flat,/en/inmueble/100994199/,611000,el Camp d'en Grassot i Gràcia Nova,96,3,4.0,lift,no,Gràcia
104,Flat,/en/inmueble/97562161/,960000,el Barri Gòtic,166,3,3.0,lift,no,Ciutat Vella
105,Flat,/en/inmueble/97554961/,1040000,el Barri Gòtic,178,4,2.0,lift,no,Ciutat Vella
109,Flat,/en/inmueble/101564833/,950000,Sant Gervasi - Galvany,115,2,3.0,lift,yes,Sarrià-Sant Gervasi
111,Flat,/en/inmueble/100994120/,563000,el Camp d'en Grassot i Gràcia Nova,91,3,3.0,lift,no,Gràcia
112,Flat,/en/inmueble/100994033/,545000,el Camp d'en Grassot i Gràcia Nova,91,3,2.0,lift,no,Gràcia
113,Flat,/en/inmueble/101243212/,427250,el Putxet i el Farró,47,1,1.0,lift,no,Sarrià-Sant Gervasi
116,Flat,/en/inmueble/101610119/,400000,el Fort Pienc,130,3,5.0,lift,no,Eixample
117,Flat,/en/inmueble/97746125/,816000,la Dreta de l'Eixample,149,2,3.0,lift,no,Eixample
118,Penthouse,/en/inmueble/99534460/,895000,el Raval,133,2,4.0,lift,no,Ciutat Vella
121,Flat,/en/inmueble/100001237/,730000,l'Antiga Esquerra de l'Eixample,194,4,2.0,lift,no,Eixample
123,Flat,/en/inmueble/101189920/,1050000,la Dreta de l'Eixample,209,5,,no lift,no,Eixample
124,Flat,/en/inmueble/100949594/,420000,la Sagrada Família,91,3,4.0,lift,no,Eixample
125,Flat,/en/inmueble/100486059/,540000,el Barri Gòtic,120,5,4.0,lift,no,Ciutat Vella
128,Flat,/en/inmueble/92377661/,1350000,el Raval,263,5,1.0,no lift,no,Ciutat Vella
130,Flat,/en/inmueble/100521534/,376000,el Raval,60,2,1.0,lift,no,Ciutat Vella
132,Flat,/en/inmueble/88975940/,770000,"Sant Pere, Santa Caterina i la Ribera",194,3,3.0,lift,no,Ciutat Vella
133,Flat,/en/inmueble/87945521/,1775000,Sant Gervasi - Galvany,322,7,4.0,lift,yes,Sarrià-Sant Gervasi
135,Flat,/en/inmueble/100743451/,1240000,el Barri Gòtic,232,6,4.0,lift,no,Ciutat Vella
136,Duplex,/en/inmueble/101398852/,1190000,Sant Gervasi - Galvany,230,7,2.0,lift,yes,Sarrià-Sant Gervasi
137,House,/en/inmueble/99991681/,2130000,Sant Gervasi - la Bonanova,375,9,,no lift,no,Sarrià-Sant Gervasi
140,Flat,/en/inmueble/100735426/,2200000,Sant Gervasi - Galvany,338,5,3.0,lift,yes,Sarrià-Sant Gervasi
141,House,/en/inmueble/89229563/,4300000,Pedralbes,710,6,,no lift,yes,Les Corts
142,Flat,/en/inmueble/101258277/,255000,el Raval,69,2,3.0,lift,no,Ciutat Vella
143,Flat,/en/inmueble/101198896/,1650000,Pedralbes,154,3,3.0,lift,yes,Les Corts
144,Penthouse,/en/inmueble/100191095/,295000,el Barri Gòtic,53,1,4.0,no lift,no,Ciutat Vella
146,Flat,/en/inmueble/99493230/,1620000,la Dreta de l'Eixample,139,3,1.0,lift,no,Eixample
147,Penthouse,/en/inmueble/100282781/,750000,Sant Gervasi - la Bonanova,103,2,7.0,lift,no,Sarrià-Sant Gervasi
148,Terraced,/en/inmueble/96788213/,950000,Sant Gervasi - la Bonanova,206,4,,no lift,no,Sarrià-Sant Gervasi
149,Flat,/en/inmueble/98991184/,725000,l'Antiga Esquerra de l'Eixample,134,4,3.0,lift,no,Eixample
150,Flat,/en/inmueble/101256732/,395000,el Raval,106,3,,no lift,no,Ciutat Vella
151,Flat,/en/inmueble/100227626/,785000,Pedralbes,116,4,6.0,lift,yes,Les Corts
152,Penthouse,/en/inmueble/99707149/,595000,Sant Gervasi - la Bonanova,89,3,6.0,lift,no,Sarrià-Sant Gervasi
153,Flat,/en/inmueble/100966133/,289000,la Salut,81,2,,no lift,no,Gràcia
154,Flat,/en/inmueble/98372259/,1870000,Pedralbes,184,4,4.0,lift,yes,Les Corts
