,type,reference,price,neighbourhood,area,rooms,plant,lift,parking,district
479,Flat,/en/inmueble/101613384/,395000,"Sant Pere, Santa Caterina i la Ribera",80,2,4.0,no lift,no,Ciutat Vella
481,Penthouse,/en/inmueble/101620690/,375000,el Raval,78,2,5.0,no lift,no,Ciutat Vella
482,Flat,/en/inmueble/101625867/,453000,Sants,82,2,2.0,lift,no,Sants-Montjuïc
484,Flat,/en/inmueble/100663693/,1050000,l'Antiga Esquerra de l'Eixample,270,7,2.0,lift,no,Eixample
485,Flat,/en/inmueble/101559956/,1250000,Sant Gervasi - la Bonanova,262,4,7.0,lift,no,Sarrià-Sant Gervasi
487,Duplex,/en/inmueble/101625215/,430000,la Maternitat i Sant Ramon,105,3,8.0,lift,no,Les Corts
488,Flat,/en/inmueble/101617415/,215000,el Poble-sec,51,2,2.0,no lift,no,Sants-Montjuïc
489,Flat,/en/inmueble/101478731/,585000,l'Antiga Esquerra de l'Eixample,111,4,6.0,lift,no,Eixample
491,Flat,/en/inmueble/101556151/,995000,la Dreta de l'Eixample,160,4,1.0,lift,no,Eixample
492,Flat,/en/inmueble/101610339/,260000,la Vila de Gràcia,73,2,0.0,lift,no,Gràcia
493,Flat,/en/inmueble/101605117/,300000,el Congrés i els Indians,90,3,4.0,lift,no,Sant Andreu
494,Flat,/en/inmueble/100108707/,315000,el Fort Pienc,63,1,2.0,lift,no,Eixample
495,Flat,/en/inmueble/101606582/,198000,Hostafrancs,57,1,1.0,lift,no,Sants-Montjuïc
496,Flat,/en/inmueble/101605768/,339000,la Nova Esquerra de l'Eixample,75,2,2.0,lift,no,Eixample
497,Flat,/en/inmueble/100579289/,345000,Sant Antoni,80,4,1.0,lift,no,Eixample
498,Penthouse,/en/inmueble/101602559/,379000,la Maternitat i Sant Ramon,85,4,8.0,lift,no,Les Corts
499,Flat,/en/inmueble/101604406/,750000,la Vila Olímpica del Poblenou,128,4,2.0,lift,yes,Sant Martí
500,Flat,/en/inmueble/101617607/,595000,l'Antiga Esquerra de l'Eixample,82,2,2.0,lift,no,Eixample
501,Flat,/en/inmueble/101611056/,835000,el Barri Gòtic,202,6,2.0,lift,no,Ciutat Vella
502,Flat,/en/inmueble/101618281/,300000,el Congrés i els Indians,90,3,5.0,lift,no,Sant Andreu
503,Flat,/en/inmueble/101605938/,630000,la Dreta de l'Eixample,485,16,1.0,no lift,no,Eixample
505,Flat,/en/inmueble/101603519/,1300000,Sant Gervasi - Galvany,200,10,1.0,lift,no,Sarrià-Sant Gervasi
506,Flat,/en/inmueble/101618789/,1580000,la Dreta de l'Eixample,198,5,5.0,lift,no,Eixample
507,Flat,/en/inmueble/101618910/,225000,Sants,73,2,1.0,no lift,no,Sants-Montjuïc
508,Flat,/en/inmueble/100098386/,575000,el Fort Pienc,115,3,2.0,lift,no,Eixample
509,Flat,/en/inmueble/101596238/,290000,la Sagrada Família,55,2,1.0,no lift,no,Eixample
510,Flat,/en/inmueble/100118786/,450000,el Fort Pienc,95,2,2.0,lift,no,Eixample
511,Flat,/en/inmueble/100389517/,475000,Sant Antoni,117,4,5.0,lift,no,Eixample
515,Flat,/en/inmueble/100098957/,500000,el Fort Pienc,103,2,2.0,lift,no,Eixample
517,Flat,/en/inmueble/100144635/,699000,Sant Gervasi - la Bonanova,161,5,2.0,lift,no,Sarrià-Sant Gervasi
518,Flat,/en/inmueble/99935739/,1200000,Sant Antoni,224,4,4.0,lift,no,Eixample
519,Flat,/en/inmueble/100769679/,625000,la Nova Esquerra de l'Eixample,102,3,6.0,lift,no,Eixample
520,Penthouse,/en/inmueble/101269695/,387000,Sant Andreu,105,3,6.0,lift,no,Sant Andreu
521,Flat,/en/inmueble/101602854/,159000,Sants,51,3,0.0,lift,no,Sants-Montjuïc
522,Flat,/en/inmueble/101613972/,398000,Sant Andreu,114,3,5.0,lift,yes,Sant Andreu
523,House,/en/inmueble/101586658/,265000,la Font d'en Fargues,152,3,,no lift,no,Horta-Guinardó
524,Flat,/en/inmueble/96197895/,550000,l'Antiga Esquerra de l'Eixample,110,4,2.0,lift,no,Eixample
525,Flat,/en/inmueble/101626522/,665000,Sant Gervasi - la Bonanova,111,3,0.0,lift,no,Sarrià-Sant Gervasi
526,Flat,/en/inmueble/101624615/,290000,el Baix Guinardó,63,2,0.0,lift,no,Horta-Guinardó
527,Duplex,/en/inmueble/98680408/,1690000,la Barceloneta,111,3,1.0,no lift,no,Ciutat Vella
528,Penthouse,/en/inmueble/101319745/,545000,el Poblenou,72,2,5.0,lift,no,Sant Martí
529,Flat,/en/inmueble/90463250/,475000,l'Antiga Esquerra de l'Eixample,110,5,1.0,lift,no,Eixample
530,Flat,/en/inmueble/101591613/,1428000,la Dreta de l'Eixample,164,3,2.0,lift,no,Eixample
531,Flat,/en/inmueble/101608256/,750000,el Poblenou,148,3,0.0,no lift,no,Sant Martí
532,Penthouse,/en/inmueble/101611743/,428000,les Corts,80,3,5.0,lift,no,Les Corts
533,Flat,/en/inmueble/100488558/,650000,el Barri Gòtic,187,4,3.0,no lift,no,Ciutat Vella
535,Flat,/en/inmueble/101623282/,260000,el Congrés i els Indians,52,1,2.0,lift,no,Sant Andreu
536,Flat,/en/inmueble/100720081/,879000,les Tres Torres,160,5,2.0,lift,yes,Sarrià-Sant Gervasi
537,Flat,/en/inmueble/100231774/,595000,Sant Gervasi - Galvany,110,2,5.0,lift,no,Sarrià-Sant Gervasi
538,Flat,/en/inmueble/100763495/,399000,l'Antiga Esquerra de l'Eixample,100,4,2.0,lift,no,Eixample
539,Flat,/en/inmueble/100796897/,1550000,les Tres Torres,281,5,1.0,lift,yes,Sarrià-Sant Gervasi
544,Flat,/en/inmueble/100990316/,390000,el Barri Gòtic,105,3,,no lift,no,Ciutat Vella
545,Penthouse,/en/inmueble/100057774/,815000,l'Antiga Esquerra de l'Eixample,170,3,8.0,lift,no,Eixample
547,Flat,/en/inmueble/101592497/,270000,el Barri Gòtic,62,2,1.0,no lift,no,Ciutat Vella
