,type,reference,price,district,street,area,plant,lift,parking,description
0,Flat,/en/inmueble/98491349/,"2,950,000€","['\n\n\n\n\n\n\n            Flat in paseo de Sant Joan', "" La Dreta de l'Eixample"", ' Barcelona\n        \n\n2', '950', '000€\n\n\n7 bed.\n275 m²\n1st floor exterior with lift\n\n\n\t\t\t\t\t\tStunning and beautiful modernist property with terrace in Paseo Sant Joan.\n\nThis outstanding property is located in one of the best modernist buildings in Barcelona']",paseo de Sant Joan,275 m²,1st,with lift,,"						Stunning and beautiful modernist property with terrace in Paseo Sant Joan.

This outstanding property is located in one of the best modernist buildings in Barcelona, in Paseo Sant Joan and at the foot of the Arc de Triomf. It occupies the entire ""Princpal"" floor (1st) of the building and is made up
					"
1,Flat,/en/inmueble/99172111/,"863,000€","['\n\n\n\n\n\n\n            Flat in calle de Bailèn', "" La Dreta de l'Eixample"", ' Barcelona\n        \n\n863', '000€\n\n\n\t\t\t\t\t\t895', '000 €\n\t\t\t\t\t\n4%\n\n\n\n3 bed.\n146 m²\n1st floor exterior with lift\n\n\n\t\t\t\t\t\tSuperb refurbished apartment with original features in the best area of Eixample.\n\nThis recently refurbished property is in a perfect state of conservation', ' so it\'s practically brand new. It\'s located in ""Quadrat d\'Or"" (""Golden Square"")', ' in the lower part of the right side of the Eixample']",calle de Bailèn,146 m²,1st,with lift,,"						Superb refurbished apartment with original features in the best area of Eixample.

This recently refurbished property is in a perfect state of conservation, so it's practically brand new. It's located in ""Quadrat d'Or"" (""Golden Square""), in the lower part of the right side of the Eixample, the most
					"
2,Penthouse,/en/inmueble/101380211/,"990,000€","['\n\n\n\n\n\n\n            Penthouse in calle del Consell de Cent', "" La Dreta de l'Eixample"", ' Barcelona\n        \n\n990', '000€\n\n\n2 bed.\n108 m²\n7th floor exterior with lift\n\n\n\t\t\t\t\t\tPenthouse with terrace for sale in Eixample Dreta', ' Barcelona\n\nMagnificent penthouse with beautiful views of the entire city', ' ideally located in one of the most sought-after neighborhoods in the city of Barcelona', ' in the magnificent Eixample Dreta neighborhood']",calle del Consell de Cent,108 m²,7th,with lift,,"						Penthouse with terrace for sale in Eixample Dreta, Barcelona

Magnificent penthouse with beautiful views of the entire city, ideally located in one of the most sought-after neighborhoods in the city of Barcelona, in the magnificent Eixample Dreta neighborhood, a few steps from the Girona L4 metro st
					"
3,Flat,/en/inmueble/98261311/,"1,925,000€","['\n\n\n\n\n\n\n            Flat in paseo de Gràcia', "" La Dreta de l'Eixample"", ' Barcelona\n        \n\n1', '925', '000€\n\n\n2 bed.\n168 m²\n1st floor exterior with lift\n\n\n\t\t\t\t\t\tExclusive house of 143sqm built and 23sqm of terrace', ' distributed in a bright living room with access to two pleasant balconies. The kitchen is open plan and comes fully equipped with high-end appliances (including a Liebherr wine fridge). Through the distributor we access the night area']",paseo de Gràcia,168 m²,1st,with lift,,"						Exclusive house of 143sqm built and 23sqm of terrace, distributed in a bright living room with access to two pleasant balconies. The kitchen is open plan and comes fully equipped with high-end appliances (including a Liebherr wine fridge). Through the distributor we access the night area, where we w
					"
4,Flat,/en/inmueble/100517004/,"1,295,000€","['\n\n\n\n\n\n\n            Flat in ronda Sant Pere', "" La Dreta de l'Eixample"", ' Barcelona\n        \n\n1', '295', '000€\n\n\n3 bed.\n190 m²\n1st floor exterior with lift\n\n\n\t\t\t\t\t\tExcellent refurbished upscale apartment in a regal estate building in Eixample.\n\nThis pristine property is located between Paseo de Gracia and Paseo Sant Joan', "" one of the best areas of Eixample's right side""]",ronda Sant Pere,190 m²,1st,with lift,,"						Excellent refurbished upscale apartment in a regal estate building in Eixample.

This pristine property is located between Paseo de Gracia and Paseo Sant Joan, one of the best areas of Eixample's right side, just a few steps away from the city centre. It's located on the first floor of a regal estat
					"
5,Flat,/en/inmueble/99079061/,"1,800,000€","['\n\n\n\n\n\n\n            Flat in calle de Ausias March', "" La Dreta de l'Eixample"", ' Barcelona\n        \n\n1', '800', '000€\n\n\n4 bed.\n216 m²\n3rd floor exterior with lift\n\n\n\t\t\t\t\t\tExcellent and refurbished luxury apartment with original features in Eixample.\n\nThis recently refurbished apartment is located very close to Paseo Sant Joan']",calle de Ausias March,216 m²,3rd,with lift,,"						Excellent and refurbished luxury apartment with original features in Eixample.

This recently refurbished apartment is located very close to Paseo Sant Joan, one of the most sought-after areas of Barcelona's Eixample and just a few metres from the Arc de Triomf and the Parc de la Ciutadella.

The fl
					"
6,Flat,/en/inmueble/98255536/,"2,800,000€","['\n\n\n\n\n\n\n            Flat in paseo de Gràcia', "" La Dreta de l'Eixample"", ' Barcelona\n        \n\n2', '800', '000€\n\n\n4 bed.\n248 m²\n1st floor exterior with lift\n\n\n\t\t\t\t\t\tBrand new apartment with terrace and pool in Paseo de Gracia', ' Barcelona\nExclusive property of 218sqm built and 28sqm of terrace distributed in a spacious and bright living room with access to 2 balconies', ' a pleasant and sunny dining room']",paseo de Gràcia,248 m²,1st,with lift,,"						Brand new apartment with terrace and pool in Paseo de Gracia, Barcelona
Exclusive property of 218sqm built and 28sqm of terrace distributed in a spacious and bright living room with access to 2 balconies, a pleasant and sunny dining room, independent kitchen with double access and breakfast bar. It
					"
7,Flat,/en/inmueble/100287105/,"1,595,000€","['\n\n\n\n\n\n\n            Flat in calle de Girona', "" La Dreta de l'Eixample"", ' Barcelona\n        \n\n1', '595', '000€\n\n\n\t\t\t\t\t\t1', '695']",calle de Girona,185 m²,3rd,with lift,,"						This newly renovated and high-quality exclusive apartment is located on the main floor in the heart of the city in a classical and perfectly maintained Eixample building with a historic elevator and community roof terrace. This splendid property has been completely renovated with the highest quality
					"
8,Flat,/en/inmueble/101368744/,"795,000€","['\n\n\n\n\n\n\n            Flat in La Vila Olímpica del Poblenou', ' Barcelona\n        \n\n795', '000€\nParking included\n\n\n\t\t\t\t\t\t850', '000 €\n\t\t\t\t\t\n6%\n\n\n\n4 bed.\n126 m²\n7th floor exterior with lift\n\n\n\t\t\t\t\t\tApartment for sale with excellent sea views in Villa Olímpica', ' Barcelona\n\nApartment for sale with excellent sea views in Villa Olímpica on the seafront. From here we can contemplate the vast sky and area of parks and gardens. Located in front of the sea and a few steps from Platja de la Nova Icaria']",La Vila Olímpica del Poblenou,126 m²,7th,with lift,Parking included,"						Apartment for sale with excellent sea views in Villa Olímpica, Barcelona

Apartment for sale with excellent sea views in Villa Olímpica on the seafront. From here we can contemplate the vast sky and area of parks and gardens. Located in front of the sea and a few steps from Platja de la Nova Icaria,
					"
9,Flat,/en/inmueble/98286608/,"1,550,000€","[""\n\n\n\n\n\n\n            Flat in calle d'Alí Bei"", "" La Dreta de l'Eixample"", ' Barcelona\n        \n\n1', '550', '000€\n\n\n5 bed.\n228 m²\n2nd floor exterior with lift\n\n\n\t\t\t\t\t\tLocated in the elegant Eixample Right', ' a few meters from the Passeig de Gracia and the Plaza de Cataluña', ' this 220sqm property has recently been perfectly renovated by an artist', ' with old elements collected from around the world. \n\nIt consists of 1 double suite', ' 1 single suite']",calle d'Alí Bei,228 m²,2nd,with lift,,"						Located in the elegant Eixample Right, a few meters from the Passeig de Gracia and the Plaza de Cataluña, this 220sqm property has recently been perfectly renovated by an artist, with old elements collected from around the world. 

It consists of 1 double suite, 1 single suite, 2 double rooms and 1
					"
